,year,track_rank,search_artist,search_query,track_popularity,duration_min,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,k_labels,clusters
0,1970,1,Simon & Garfunkel,Bridge Over Troubled Water,72.0,2.91,102.762,0.755,0.8759999999999999,0.0,-8.867,1.0,0.0362,0.35700000000000004,5.17e-06,0.22,0.9540000000000001,1,Happy Dance
1,1970,2,The Carpenters,(They Long to Be) Close to You,4.0,3.5,95.208,0.466,0.331,8.0,-14.734000000000002,1.0,0.0359,0.623,0.8420000000000001,0.257,0.35600000000000004,2,Soft Acoustic
2,1970,3,The Guess Who,American Woman,61.0,5.12,92.697,0.55,0.726,2.0,-8.51,1.0,0.0516,0.146,0.0060799999999999995,0.428,0.37,0,Neutral Energetic
3,1970,4,B.J. Thomas,Raindrops Keep Fallin' on My Head,56.0,3.07,104.962,0.519,0.446,5.0,-9.287,1.0,0.0388,0.813,0.000124,0.11,0.654,2,Soft Acoustic
4,1970,5,Edwin Starr,War,62.0,3.34,109.333,0.59,0.6709999999999999,1.0,-12.484000000000002,1.0,0.154,0.0939,0.0,0.248,0.736,1,Happy Dance
5,1970,6,Diana Ross,Ain't No Mountain High Enough,0.0,6.34,96.198,0.371,0.784,0.0,-5.614,0.0,0.0351,0.28600000000000003,0.0050799999999999994,0.0952,0.5820000000000001,0,Neutral Energetic
6,1970,7,The Jackson 5,I'll Be There,66.0,3.96,93.212,0.51,0.515,5.0,-7.247000000000001,1.0,0.0253,0.593,1.24e-06,0.654,0.331,2,Soft Acoustic
7,1970,8,Rare Earth,Get Ready,37.0,2.78,136.828,0.62,0.94,2.0,-4.098,0.0,0.0311,0.0426,0.000828,0.275,0.9590000000000001,1,Happy Dance
8,1970,9,The Beatles,Let It Be,77.0,4.05,143.46200000000002,0.44299999999999995,0.40299999999999997,0.0,-8.339,1.0,0.0322,0.631,0.0,0.111,0.41,2,Soft Acoustic
9,1970,10,Freda Payne,Band of Gold,40.0,3.04,108.875,0.631,0.746,7.0,-5.439,1.0,0.0277,0.451,0.0,0.424,0.93,1,Happy Dance
10,1970,11,Three Dog Night,Mama Told Me Not to Come,59.0,3.32,119.994,0.6729999999999999,0.6729999999999999,1.0,-13.940999999999999,1.0,0.0493,0.373,0.0265,0.20600000000000002,0.825,1,Happy Dance
11,1970,12,Ray Stevens,Everything Is Beautiful,36.0,3.55,112.15899999999999,0.37,0.37799999999999995,5.0,-15.177999999999999,1.0,0.0369,0.514,0.0,0.222,0.722,2,Soft Acoustic
12,1970,13,Bread,Make It with You,64.0,3.2,83.88600000000001,0.629,0.35600000000000004,4.0,-11.135,1.0,0.0246,0.66,0.000617,0.17300000000000001,0.47200000000000003,2,Soft Acoustic
13,1970,14,Vanity Fare,Hitchin' a Ride,38.0,2.92,137.034,0.735,0.727,0.0,-7.527,1.0,0.0282,0.0746,5.7999999999999994e-05,0.10099999999999999,0.511,0,Neutral Energetic
14,1970,15,The Jackson 5,ABC,62.0,2.96,94.76899999999999,0.715,0.6779999999999999,8.0,-11.842,1.0,0.0475,0.486,0.000192,0.15,0.9470000000000001,1,Happy Dance
15,1970,16,The Jackson 5,The Love You Save,46.0,3.02,113.656,0.755,0.713,9.0,-10.953,0.0,0.0513,0.41100000000000003,0.0,0.11800000000000001,0.946,1,Happy Dance
16,1970,17,Neil Diamond,Cracklin' Rosie,62.0,3.0,127.82700000000001,0.562,0.503,1.0,-14.835999999999999,1.0,0.0335,0.319,0.0,0.163,0.846,1,Happy Dance
